id,username,password_hash,role
1,user1,hash_43276,user
2,user2,hash_18424,analyst
3,user3,hash_88787,user
4,user4,hash_51978,analyst
5,user5,hash_99465,admin
6,user6,hash_69200,analyst
7,user7,hash_80281,admin
8,user8,hash_61052,admin
9,user9,hash_25439,user
10,user10,hash_52350,admin
11,user11,hash_15812,analyst
12,user12,hash_65950,user
13,user13,hash_50632,admin
14,user14,hash_34763,admin
15,user15,hash_98738,admin
16,user16,hash_45295,analyst
17,user17,hash_17182,analyst
18,user18,hash_70953,admin
19,user19,hash_61851,user
20,user20,hash_60239,analyst
21,user21,hash_83151,analyst
22,user22,hash_10990,manager
23,user23,hash_24222,admin
24,user24,hash_30389,admin
25,user25,hash_48832,user
26,user26,hash_15609,analyst
27,user27,hash_40122,admin
28,user28,hash_42066,user
29,user29,hash_44702,manager
30,user30,hash_21657,analyst
31,user31,hash_83534,manager
32,user32,hash_98160,user
33,user33,hash_69993,analyst
34,user34,hash_95741,user
35,user35,hash_55664,user
36,user36,hash_81892,manager
37,user37,hash_78306,manager
38,user38,hash_59113,user
39,user39,hash_54220,admin
40,user40,hash_98904,user
41,user41,hash_79197,manager
42,user42,hash_32393,admin
43,user43,hash_58419,user
44,user44,hash_62353,user
45,user45,hash_14516,manager
46,user46,hash_40607,analyst
47,user47,hash_66741,manager
48,user48,hash_11832,analyst
49,user49,hash_94488,manager
50,user50,hash_72533,admin
51,user51,hash_98028,manager
52,user52,hash_15377,admin
53,user53,hash_36094,manager
54,user54,hash_34403,manager
55,user55,hash_60561,manager
56,user56,hash_54201,analyst
57,user57,hash_49791,manager
58,user58,hash_98174,analyst
59,user59,hash_67428,manager
60,user60,hash_10223,user
61,user61,hash_14873,admin
62,user62,hash_60435,analyst
63,user63,hash_18387,admin
64,user64,hash_61492,admin
65,user65,hash_54395,manager
66,user66,hash_39361,manager
67,user67,hash_43108,analyst
68,user68,hash_40794,admin
69,user69,hash_11104,admin
70,user70,hash_52498,user
71,user71,hash_47989,user
72,user72,hash_93213,admin
73,user73,hash_54629,analyst
74,user74,hash_63388,manager
75,user75,hash_64835,analyst
76,user76,hash_63210,user
77,user77,hash_44140,user
78,user78,hash_78949,analyst
79,user79,hash_53655,manager
80,user80,hash_22939,analyst
81,user81,hash_22686,analyst
82,user82,hash_64274,manager
83,user83,hash_70507,analyst
84,user84,hash_41605,manager
85,user85,hash_49525,user
86,user86,hash_41174,admin
87,user87,hash_15199,user
88,user88,hash_82481,manager
89,user89,hash_56024,manager
90,user90,hash_84667,admin
91,user91,hash_77107,analyst
92,user92,hash_56403,analyst
93,user93,hash_88836,analyst
94,user94,hash_40232,analyst
95,user95,hash_47218,user
96,user96,hash_34785,manager
97,user97,hash_82479,user
98,user98,hash_60528,admin
99,user99,hash_30282,admin
100,user100,hash_79840,user
101,user101,hash_73150,analyst
102,user102,hash_12795,analyst
103,user103,hash_49146,admin
104,user104,hash_18489,analyst
105,user105,hash_79794,admin
106,user106,hash_78113,admin
107,user107,hash_25024,manager
108,user108,hash_41190,user
109,user109,hash_17035,manager
110,user110,hash_66917,manager
111,user111,hash_17383,analyst
112,user112,hash_85640,admin
113,user113,hash_89140,analyst
114,user114,hash_96449,analyst
115,user115,hash_95763,analyst
116,user116,hash_67455,user
117,user117,hash_35520,user
118,user118,hash_98096,analyst
119,user119,hash_57663,manager
120,user120,hash_66837,admin
121,user121,hash_87720,user
122,user122,hash_69484,user
123,user123,hash_90766,user
124,user124,hash_95392,user
125,user125,hash_20094,analyst
126,user126,hash_48941,analyst
127,user127,hash_66999,user
128,user128,hash_18844,user
129,user129,hash_83344,analyst
130,user130,hash_87571,manager
131,user131,hash_78240,analyst
132,user132,hash_21161,manager
133,user133,hash_49016,analyst
134,user134,hash_81441,manager
135,user135,hash_34351,user
136,user136,hash_16370,user
137,user137,hash_97667,admin
138,user138,hash_48099,admin
139,user139,hash_12439,user
140,user140,hash_59537,admin
141,user141,hash_57233,analyst
142,user142,hash_37068,analyst
143,user143,hash_71677,admin
144,user144,hash_66890,user
145,user145,hash_41727,admin
146,user146,hash_58954,manager
147,user147,hash_10871,analyst
148,user148,hash_20439,user
149,user149,hash_60364,user
150,user150,hash_20040,user
151,user151,hash_41115,analyst
152,user152,hash_70055,user
153,user153,hash_37612,manager
154,user154,hash_68306,manager
155,user155,hash_76450,analyst
156,user156,hash_10529,manager
157,user157,hash_63241,admin
158,user158,hash_96497,manager
159,user159,hash_71943,user
160,user160,hash_86927,analyst
161,user161,hash_83821,manager
162,user162,hash_45230,user
163,user163,hash_55688,admin
164,user164,hash_43899,admin
165,user165,hash_68789,admin
166,user166,hash_77414,analyst
167,user167,hash_54222,user
168,user168,hash_52106,admin
169,user169,hash_37936,user
170,user170,hash_85660,manager
171,user171,hash_33459,user
172,user172,hash_53881,admin
173,user173,hash_11722,admin
174,user174,hash_51018,user
175,user175,hash_91986,admin
176,user176,hash_81583,user
177,user177,hash_94598,analyst
178,user178,hash_72165,admin
179,user179,hash_56690,manager
180,user180,hash_25655,manager
181,user181,hash_95465,analyst
182,user182,hash_75522,admin
183,user183,hash_73359,user
184,user184,hash_59299,analyst
185,user185,hash_91757,manager
186,user186,hash_24616,manager
187,user187,hash_96814,manager
188,user188,hash_75104,analyst
189,user189,hash_51131,analyst
190,user190,hash_22972,user
191,user191,hash_45075,analyst
192,user192,hash_19654,admin
193,user193,hash_53158,analyst
194,user194,hash_20837,manager
195,user195,hash_72909,admin
196,user196,hash_44223,user
197,user197,hash_87553,admin
198,user198,hash_99125,user
199,user199,hash_21154,manager
200,user200,hash_28628,manager
201,user201,hash_64144,manager
202,user202,hash_91585,user
203,user203,hash_98491,manager
204,user204,hash_71770,manager
205,user205,hash_61591,user
206,user206,hash_28913,manager
207,user207,hash_46735,manager
208,user208,hash_91850,analyst
209,user209,hash_65435,user
210,user210,hash_53308,user
211,user211,hash_30959,admin
212,user212,hash_60414,manager
213,user213,hash_79183,manager
214,user214,hash_68394,admin
215,user215,hash_14734,user
216,user216,hash_32844,manager
217,user217,hash_90974,manager
218,user218,hash_29528,user
219,user219,hash_18600,user
220,user220,hash_96425,analyst
221,user221,hash_92793,analyst
222,user222,hash_97258,analyst
223,user223,hash_43548,admin
224,user224,hash_62676,analyst
225,user225,hash_39087,admin
226,user226,hash_64297,admin
227,user227,hash_34022,user
228,user228,hash_20059,analyst
229,user229,hash_51970,analyst
230,user230,hash_55021,admin
231,user231,hash_20178,user
232,user232,hash_60032,analyst
233,user233,hash_51019,analyst
234,user234,hash_99687,admin
235,user235,hash_42436,admin
236,user236,hash_56728,analyst
237,user237,hash_98553,user
238,user238,hash_67664,analyst
239,user239,hash_42901,analyst
240,user240,hash_56980,analyst
241,user241,hash_69331,user
242,user242,hash_49622,user
243,user243,hash_42390,user
244,user244,hash_81653,admin
245,user245,hash_13394,analyst
246,user246,hash_94434,manager
247,user247,hash_74169,user
248,user248,hash_18551,analyst
249,user249,hash_27522,admin
250,user250,hash_32652,admin
251,user251,hash_94140,admin
252,user252,hash_90091,analyst
253,user253,hash_92006,analyst
254,user254,hash_62743,admin
255,user255,hash_27008,analyst
256,user256,hash_20820,user
257,user257,hash_49656,manager
258,user258,hash_47856,user
259,user259,hash_97315,user
260,user260,hash_24631,analyst
261,user261,hash_97018,user
262,user262,hash_23514,admin
263,user263,hash_91866,analyst
264,user264,hash_58551,user
265,user265,hash_40507,analyst
266,user266,hash_55230,analyst
267,user267,hash_61961,manager
268,user268,hash_42961,user
269,user269,hash_57873,admin
270,user270,hash_66208,user
271,user271,hash_31963,analyst
272,user272,hash_53237,analyst
273,user273,hash_51993,admin
274,user274,hash_84804,admin
275,user275,hash_47874,admin
276,user276,hash_97667,user
277,user277,hash_54307,user
278,user278,hash_81953,user
279,user279,hash_53857,user
280,user280,hash_80441,admin
281,user281,hash_22971,admin
282,user282,hash_68405,user
283,user283,hash_95765,analyst
284,user284,hash_24468,user
285,user285,hash_47646,manager
286,user286,hash_13302,user
287,user287,hash_94459,admin
288,user288,hash_36420,admin
289,user289,hash_83815,manager
290,user290,hash_33012,admin
291,user291,hash_86074,manager
292,user292,hash_82436,admin
293,user293,hash_81967,analyst
294,user294,hash_51746,user
295,user295,hash_64530,analyst
296,user296,hash_24145,manager
